STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,centlat,centlong,id,GEO_id,GEO_id2,GEO_displa,ACS_14_5YR,ACS_14_5_1,GEO_id_1,GEO_id2_1,GEO_disp_1,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
expanded_label,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,centroid latitude,centroid longitude,,xxx,xxx,xxx,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),xxx,xxx,xxx,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
24,31,700816,4,1500000US240317008164,2.40E+11,4,BG,314448,5306,39.12329122,-77.21211054,0,1500000US240317008164,2.40317E+11,"Block Group 4, Census Tract 7008.16, Montgomery County, Maryland",68063,6382,1500000US240317008164,2.40E+11,"Block Group 4, Census Tract 7008.16, Montgomery County, Maryland",671,146,23,28,0,12,23,28,648,149,20,30,628,147
24,31,702800,2,1500000US240317028002,2.40E+11,2,BG,74682,0,38.99776355,-77.03308575,0,1500000US240317028002,2.40317E+11,"Block Group 2, Census Tract 7028, Montgomery County, Maryland",71518,8191,1500000US240317028002,2.40E+11,"Block Group 2, Census Tract 7028, Montgomery County, Maryland",876,125,26,28,13,21,13,20,850,127,99,97,751,155
24,31,701220,2,1500000US240317012202,2.40E+11,2,BG,2333978,8384,39.07244343,-77.21699764,0,1500000US240317012202,2.40317E+11,"Block Group 2, Census Tract 7012.20, Montgomery County, Maryland",177708,17566,1500000US240317012202,2.40E+11,"Block Group 2, Census Tract 7012.20, Montgomery County, Maryland",808,71,6,12,6,12,0,12,802,71,152,55,650,84
24,31,700816,2,1500000US240317008162,2.40E+11,2,BG,807321,0,39.1192614,-77.20823434,0,1500000US240317008162,2.40317E+11,"Block Group 2, Census Tract 7008.16, Montgomery County, Maryland",61193,20051,1500000US240317008162,2.40E+11,"Block Group 2, Census Tract 7008.16, Montgomery County, Maryland",775,149,31,29,8,14,23,27,744,145,82,76,662,149
24,31,700819,1,1500000US240317008191,2.40E+11,1,BG,806968,10187,39.16316043,-77.24448015,0,1500000US240317008191,2.40317E+11,"Block Group 1, Census Tract 7008.19, Montgomery County, Maryland",61136,18607,1500000US240317008191,2.40E+11,"Block Group 1, Census Tract 7008.19, Montgomery County, Maryland",478,104,0,12,0,12,0,12,478,104,49,50,429,107
24,31,701218,3,1500000US240317012183,2.40E+11,3,BG,448951,0,39.05634613,-77.11819543,0,1500000US240317012183,2.40317E+11,"Block Group 3, Census Tract 7012.18, Montgomery County, Maryland",74762,54466,1500000US240317012183,2.40E+11,"Block Group 3, Census Tract 7012.18, Montgomery County, Maryland",310,77,15,23,15,23,0,12,295,73,57,43,238,77
24,31,701215,1,1500000US240317012151,2.40E+11,1,BG,98058,8551,39.02745834,-77.105384,0,1500000US240317012151,2.40317E+11,"Block Group 1, Census Tract 7012.15, Montgomery County, Maryland",64777,25255,1500000US240317012151,2.40E+11,"Block Group 1, Census Tract 7012.15, Montgomery County, Maryland",541,96,0,12,0,12,0,12,541,96,50,36,491,101
24,31,700722,2,1500000US240317007222,2.40E+11,2,BG,434848,0,39.15653345,-77.21313887,0,1500000US240317007222,2.40317E+11,"Block Group 2, Census Tract 7007.22, Montgomery County, Maryland",70893,38072,1500000US240317007222,2.40E+11,"Block Group 2, Census Tract 7007.22, Montgomery County, Maryland",248,85,45,67,0,12,45,67,203,74,27,26,176,78
24,31,701213,4,1500000US240317012134,2.40E+11,4,BG,255324,0,39.04243645,-77.11881947,0,1500000US240317012134,2.40317E+11,"Block Group 4, Census Tract 7012.13, Montgomery County, Maryland",91136,41100,1500000US240317012134,2.40E+11,"Block Group 4, Census Tract 7012.13, Montgomery County, Maryland",498,107,0,12,0,12,0,12,498,107,39,38,459,106
24,31,701205,4,1500000US240317012054,2.40E+11,4,BG,746424,606,39.03441853,-77.1349878,0,1500000US240317012054,2.40317E+11,"Block Group 4, Census Tract 7012.05, Montgomery County, Maryland",148648,74806,1500000US240317012054,2.40E+11,"Block Group 4, Census Tract 7012.05, Montgomery County, Maryland",311,89,0,12,0,12,0,12,311,89,100,84,211,70
24,31,700834,3,1500000US240317008343,2.40E+11,3,BG,311316,0,39.18405251,-77.23607473,0,1500000US240317008343,2.40317E+11,"Block Group 3, Census Tract 7008.34, Montgomery County, Maryland",68200,17270,1500000US240317008343,2.40E+11,"Block Group 3, Census Tract 7008.34, Montgomery County, Maryland",824,102,72,53,33,49,39,39,752,108,71,50,681,105
24,31,701001,2,1500000US240317010012,2.40E+11,2,BG,1051218,14703,39.07297596,-77.15680597,0,1500000US240317010012,2.40317E+11,"Block Group 2, Census Tract 7010.01, Montgomery County, Maryland",105833,13750,1500000US240317010012,2.40E+11,"Block Group 2, Census Tract 7010.01, Montgomery County, Maryland",780,91,30,25,8,13,22,22,750,93,126,58,624,87
24,31,701218,1,1500000US240317012181,2.40E+11,1,BG,249796,0,39.05470821,-77.12239173,0,1500000US240317012181,2.40317E+11,"Block Group 1, Census Tract 7012.18, Montgomery County, Maryland",71648,15818,1500000US240317012181,2.40E+11,"Block Group 1, Census Tract 7012.18, Montgomery County, Maryland",1031,111,81,54,38,35,43,42,950,118,154,65,796,110
24,31,700713,3,1500000US240317007133,2.40E+11,3,BG,175698,0,39.15765392,-77.20144936,0,1500000US240317007133,2.40317E+11,"Block Group 3, Census Tract 7007.13, Montgomery County, Maryland",40353,7871,1500000US240317007133,2.40E+11,"Block Group 3, Census Tract 7007.13, Montgomery County, Maryland",805,122,193,94,9,14,184,93,612,123,50,40,562,131
24,31,701215,4,1500000US240317012154,2.40E+11,4,BG,66489,0,39.0271327,-77.1065317,0,1500000US240317012154,2.40317E+11,"Block Group 4, Census Tract 7012.15, Montgomery County, Maryland",103454,12649,1500000US240317012154,2.40E+11,"Block Group 4, Census Tract 7012.15, Montgomery County, Maryland",563,84,0,12,0,12,0,12,563,84,108,65,455,100
24,31,701212,2,1500000US240317012122,2.40E+11,2,BG,2046646,41759,39.13594757,-77.13506257,0,1500000US240317012122,2.40317E+11,"Block Group 2, Census Tract 7012.12, Montgomery County, Maryland",109554,18887,1500000US240317012122,2.40E+11,"Block Group 2, Census Tract 7012.12, Montgomery County, Maryland",241,59,8,13,0,12,8,13,233,59,23,19,210,61
24,31,701420,2,1500000US240317014202,2.40E+11,2,BG,169898,0,39.04925403,-76.95025794,0,1500000US240317014202,2.40317E+11,"Block Group 2, Census Tract 7014.20, Montgomery County, Maryland",45729,18708,1500000US240317014202,2.40E+11,"Block Group 2, Census Tract 7014.20, Montgomery County, Maryland",253,61,0,12,0,12,0,12,253,61,104,49,149,58
